LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.002
variable tau equal 100*${dt}
variable tau equal 100*0.002
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.002
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 1.2
Lattice spacing in x,y,z = 1.4938016 1.4938016 1.4938016
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (11.950413 11.950413 11.950413)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (11.950413 11.950413 11.950413)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.002
thermo ${thermo_time}
thermo 100

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 0.2
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 19 19 19
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.162 | 3.162 | 3.162 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              4.4978027      3.5982422    
       100   2.2476147      1.4733831      0              4.8431589      28.372705    
       200   2.475991       1.7095296      0              5.4217026      31.531885    
       300   2.7144236      1.9521209      0              6.0217681      34.588107    
       400   2.9181013      2.175954       0              6.5509687      37.083031    
       500   3.102687       2.2399363      0              6.8916943      38.19471     
       600   3.096916       2.2889262      0              6.932032       38.878122    
       700   3.0442742      2.1001222      0              6.6643038      36.608949    
       800   2.9015058      2.0967757      0              6.4469093      36.341908    
       900   2.9243076      2.1409447      0              6.5252642      36.683508    
      1000   3.0641139      2.1429964      0              6.736923       36.830892    
      1100   3.01303        2.3054289      0              6.8227671      38.578905    
      1200   3.0352143      2.166898       0              6.7174964      36.983718    
      1300   2.8564218      2.2416876      0              6.5242281      37.996798    
      1400   2.9804047      2.0609007      0              6.5293248      35.825602    
      1500   3.0531395      2.0964231      0              6.6738961      36.666341    
      1600   3.0415162      2.2283285      0              6.7883752      37.914733    
      1700   3.03228        2.1985459      0              6.744745       37.325177    
      1800   2.9729419      2.1435417      0              6.6007772      36.958393    
      1900   2.9355349      2.1338192      0              6.5349715      36.785808    
      2000   2.9978527      2.1311211      0              6.6257045      36.588598    
      2100   3.0408554      2.194089       0              6.7531448      37.316275    
      2200   3.0577636      2.1726226      0              6.7570284      37.24846     
      2300   3.0773166      2.034611       0              6.648332       35.858856    
      2400   2.9318418      2.1610359      0              6.5566512      37.000687    
      2500   2.988478       2.1147617      0              6.5952899      36.757351    
      2600   3.0217416      2.1944005      0              6.7247997      37.44772     
      2700   3.0465665      2.2172607      0              6.784879       37.951905    
      2800   2.9896521      2.1345053      0              6.6167938      37.037492    
      2900   2.9475621      2.0715511      0              6.4907354      36.040201    
      3000   2.9327033      2.190803       0              6.5877101      37.529993    
      3100   3.0069139      2.2045513      0              6.7127198      37.912565    
      3200   3.0054668      2.2221771      0              6.728176       38.026598    
      3300   3.0182915      2.1545673      0              6.6797939      37.034859    
      3400   2.9040448      2.1709607      0              6.524901       36.975263    
      3500   2.9051471      2.0538567      0              6.4094496      35.685619    
      3600   2.9370737      2.1675365      0              6.5709959      36.904521    
      3700   2.9601736      2.2227497      0              6.6608421      37.86257     
      3800   3.0007482      2.1963175      0              6.695242       37.643646    
      3900   3.0021781      2.1439308      0              6.6449991      36.864915    
      4000   2.921079       2.1753974      0              6.5548765      36.945757    
      4100   2.9099843      2.1101729      0              6.473018       36.367807    
      4200   2.9738248      2.1352986      0              6.5938576      36.85148     
      4300   3.0432804      2.200976       0              6.7636676      37.348638    
      4400   3.0770764      2.1407123      0              6.7540732      37.238694    
      4500   3.0188061      2.1081618      0              6.6341598      36.455501    
      4600   2.995226       2.0464108      0              6.537056       35.710899    
      4700   2.9529334      2.1390052      0              6.5662425      36.995301    
      4800   3.0638818      2.0378237      0              6.6314024      36.053178    
      4900   2.9996805      2.1935833      0              6.690907       37.449385    
      5000   3.0490074      2.1729222      0              6.7442002      37.246139    
      5100   3.0092558      2.1870175      0              6.6986971      37.193549    
      5200   2.9575867      2.0941951      0              6.528409       36.116653    
      5300   2.9515398      2.0792154      0              6.5043633      36.223346    
      5400   3.0225603      2.1458997      0              6.6775263      37.104068    
      5500   3.0473011      2.1595588      0              6.7282785      36.860723    
      5600   2.9637742      2.2262199      0              6.6697105      37.725935    
