Running 3D simulation for density = 0.8
LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 1.7099759 1.7099759 1.7099759
Created orthogonal box = (0 0 0) to (13.679808 13.679808 13.679808)
  1 by 1 by 1 MPI processor grid
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (13.679808 13.679808 13.679808)
  create_atoms CPU = 0.000 seconds
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 22 22 22
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.002
Per MPI rank memory allocation (min/avg/max) = 3.184 | 3.184 | 3.184 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              4.4978027      2.3988281    
       100   2.6378656      0.76948111     0              4.7243475      10.439274    
       200   2.8275022      0.86660684     0              5.1057892      11.376978    
       300   2.9840459      0.97607656     0              5.4499599      12.298496    
       400   3.0788441      1.008448       0              5.624459       12.7041      
       500   3.0527282      0.94485517     0              5.5217116      12.204502    
       600   2.9933143      0.84676999     0              5.3345491      11.473746    
       700   2.9911762      0.84479911     0              5.3293727      11.280717    
       800   3.045963       0.91805508     0              5.4847686      12.008444    
       900   3.0447173      0.99721242     0              5.5620584      12.660607    
      1000   3.0270951      0.9348135      0              5.473239       12.038712    
      1100   2.9114064      0.98641874     0              5.351396       12.528757    
      1200   2.9782107      0.94870458     0              5.4138393      12.122321    
      1300   3.0597159      0.95910904     0              5.5464419      12.233095    
      1400   3.0166401      0.98340636     0              5.5061571      12.497848    
      1500   2.9129801      0.91684999     0              5.2841866      11.922406    
      1600   2.9001467      0.93704863     0              5.2851446      11.943288    
      1700   2.9568821      0.98470999     0              5.4178675      12.404165    
      1800   3.0306488      0.96782227     0              5.5115757      12.274106    
      1900   3.0372259      0.95111168     0              5.504726       12.122152    
      2000   2.9191302      0.95227004     0              5.3288273      12.291296    
      2100   2.9059028      0.93853122     0              5.2952571      12.032272    
      2200   2.9535494      0.98242787     0              5.4105887      12.409046    
      2300   3.0225284      0.92087268     0              5.4524516      11.873407    
      2400   3.0285344      0.91722661     0              5.45781        11.896171    
      2500   2.995348       0.95666675     0              5.4474949      12.192523    
      2600   3.0415217      0.92471191     0              5.4847668      11.912657    
      2700   3.0000769      1.0097605      0              5.5076784      12.736164    
      2800   2.9944295      0.97548485     0              5.4649359      12.348291    
      2900   2.9487383      0.93570102     0              5.3566488      12.006764    
      3000   2.944391       0.9257983      0              5.3402283      11.940897    
      3100   3.0207031      1.0088455      0              5.5376878      12.667852    
      3200   3.0864413      0.95814991     0              5.5855512      12.30528     
      3300   3.0000062      0.96191951     0              5.4597315      12.391849    
      3400   2.9612122      0.95850571     0              5.3981552      12.160187    
      3500   2.98209        0.94617268     0              5.4171235      12.140749    
      3600   3.0372652      0.94028563     0              5.4939589      11.993927    
      3700   3.0581398      0.9643655      0              5.5493354      12.187315    
      3800   3.012582       0.98511751     0              5.501784       12.355642    
      3900   2.9116052      0.99279183     0              5.3580671      12.455259    
      4000   2.981414       0.88570808     0              5.3556454      11.761179    
      4100   3.0510827      0.90860623     0              5.4829956      11.928876    
      4200   2.9978226      1.0622913      0              5.5568296      13.046465    
      4300   2.9724272      0.96232545     0              5.4187892      12.351042    
      4400   2.9200917      0.91299835     0              5.2909971      11.901307    
      4500   2.9580976      0.95876566     0              5.3937455      12.239614    
      4600   3.0007119      1.0148208      0              5.5136908      12.658896    
      4700   3.0680934      0.89166211     0              5.4915551      11.915089    
      4800   2.9671746      0.9670726      0              5.4156613      12.302967    
      4900   2.9875508      0.93405206     0              5.4131901      12.031019    
      5000   2.9834737      0.97450783     0              5.4475332      12.319104    
      5100   3.0033367      0.99326435     0              5.4960697      12.559368    
      5200   3.1475209      0.91702976     0              5.6360058      11.990485    
      5300   3.0229054      1.0084876      0              5.5406317      12.521283    
      5400   2.9636214      0.918859       0              5.3621205      11.862361    
      5500   2.9189401      0.98021545     0              5.3564877      12.227435    
      5600   3.0524657      0.9236605      0              5.5001234      11.968361    
      5700   3.0252181      0.98181436     0              5.5174258      12.402562    
      5800   2.9656048      0.96305718     0              5.4092924      12.141203    
      5900   2.8665452      0.8967318      0              5.1944501      11.588115    
      6000   2.9135574      0.90147699     0              5.2696791      11.657848    
      6100   3.0221473      0.92106559     0              5.4520731      12.068972    
      6200   2.9938823      0.98216567     0              5.4707963      12.421327    
      6300   2.9803318      0.95905292     0              5.4273677      12.127398    
      6400   3.0036916      0.91578708     0              5.4191245      11.957075    
      6500   3.0404543      0.93017283     0              5.4886275      12.157364    
      6600   3.0204775      1.0006565      0              5.5291605      12.459568    
      6700   2.9531516      0.98469        0              5.4122544      12.387381    
      6800   2.9368039      0.89236586     0              5.2954207      11.824828    
      6900   3.0073661      0.894622       0              5.4034685      11.679599    
      7000   3.0647038      0.94106349     0              5.5358746      12.09344     
      7100   3.0266189      0.95625597     0              5.4939675      12.280786    
      7200   2.9856062      0.94436894     0              5.4205915      12.11054     
      7300   2.9832781      0.90137526     0              5.3741073      11.782302    
      7400   2.9944105      0.93007688     0              5.4194995      12.09937     
      7500   3.0879937      0.96634374     0              5.5960726      12.33202     
      7600   3.054641       0.96561926     0              5.5453435      12.276139    
      7700   2.9406553      0.97562345     0              5.3844527      12.28411     
      7800   2.9795285      0.93283745     0              5.399948       12.093427    
      7900   2.9829098      0.98045331     0              5.4526333      12.33434     
      8000   3.0664198      0.93592643     0              5.5333102      12.056218    
      8100   3.0783062      0.99942367     0              5.6146284      12.542068    
      8200   3.0302035      0.949336       0              5.4924219      12.231241    
      8300   2.9878339      0.88000846     0              5.359571       11.61224     
      8400   2.9913043      0.89165512     0              5.3764207      11.652918    
      8500   3.037259       0.95660141     0              5.5102654      12.176002    
      8600   3.1010512      0.9474087      0              5.5967143      12.136186    
      8700   2.9369109      0.97062608     0              5.3738413      12.2523      
      8800   2.8896871      0.96839714     0              5.3008113      12.313439    
      8900   3.0360293      0.89769036     0              5.4495107      11.822175    
      9000   3.0485795      0.96867234     0              5.5393087      12.289954    
      9100   3.0027096      0.99932294     0              5.5011881      12.453345    
      9200   2.9159993      0.97821784     0              5.3500811      12.443442    
      9300   2.8614053      0.97097178     0              5.260984       12.332914    
      9400   3.012817       0.96098266     0              5.4780015      12.326256    
      9500   3.0650671      0.95299189     0              5.5483476      12.259608    
      9600   2.9958272      0.92750959     0              5.4190562      12.100636    
      9700   2.927862       0.9518329      0              5.3414815      12.062105    
      9800   3.0401131      0.87753436     0              5.4354774      11.702973    
      9900   3.1085153      0.948397       0              5.6088932      12.270401    
     10000   3.0354053      1.0195699      0              5.5704547      12.761298    
     10100   2.9546288      0.90602652     0              5.3358057      11.848653    
     10200   2.9640713      0.94188978     0              5.3858258      12.262841    
